timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-01-01,0.01488900,0.01491100,0.01468000,0.01470600,18755.29000000,1672617599999,277.26500059,23020,8252.11500000,121.97290966,0
2023-01-02,0.01470600,0.01481300,0.01454300,0.01471300,23715.86400000,1672703999999,348.97801790,31236,11409.84800000,167.93289617,0
2023-01-03,0.01471300,0.01476600,0.01466000,0.01475900,20091.47700000,1672790399999,295.67464828,26776,9270.30800000,136.43400214,0
2023-01-04,0.01475900,0.01542600,0.01473900,0.01536500,58261.40900000,1672876799999,884.65927825,67766,31181.82600000,473.39207935,0
2023-01-05,0.01536600,0.01537800,0.01520300,0.01524700,22249.43800000,1672963199999,339.99702851,34421,11070.77700000,169.16722623,0
2023-01-06,0.01524800,0.01545300,0.01521000,0.01533000,22984.20900000,1673049599999,351.97462804,35671,11231.79200000,172.02008994,0
2023-01-07,0.01533000,0.01553500,0.01531400,0.01542300,16110.55000000,1673135999999,248.62825710,25692,8991.95500000,138.83535937,0
2023-01-08,0.01542400,0.01613600,0.01537600,0.01605000,31150.29200000,1673222399999,490.18601549,44290,17532.39700000,276.11572730,0
2023-01-09,0.01604900,0.01637600,0.01579400,0.01586700,43869.75200000,1673308799999,707.61095286,65875,23649.15100000,381.72998325,0
2023-01-10,0.01586800,0.01604400,0.01576900,0.01589600,25077.76300000,1673395199999,399.27086331,39871,13253.13400000,211.03816328,0
2023-01-11,0.01589700,0.01603600,0.01576400,0.01587500,25093.64300000,1673481599999,399.19301088,37689,11720.76900000,186.48712547,0
2023-01-12,0.01587500,0.01591700,0.01509800,0.01526700,40913.36500000,1673567999999,633.67935330,61362,18451.75500000,285.92963434,0
2023-01-13,0.01526600,0.01546300,0.01466400,0.01473900,34602.76700000,1673654399999,521.56013466,57869,15097.85600000,227.95169977,0
2023-01-14,0.01473900,0.01498600,0.01427400,0.01456400,71990.90900000,1673740799999,1055.27331127,108778,34130.06200000,500.54657862,0
2023-01-15,0.01456400,0.01462900,0.01417800,0.01447400,29499.55000000,1673827199999,424.84462565,49154,12860.35800000,185.42329728,0
2023-01-16,0.01447400,0.01451500,0.01406000,0.01411700,29614.34500000,1673913599999,423.04265569,53516,13799.70800000,197.29714483,0
2023-01-17,0.01411700,0.01432000,0.01406700,0.01416500,22897.82200000,1673999999999,325.29920928,41238,12095.07400000,171.86784807,0
2023-01-18,0.01416400,0.01432100,0.01367900,0.01386900,50804.24900000,1674086399999,711.47113044,74152,21552.06200000,301.91158087,0
2023-01-19,0.01386800,0.01403500,0.01384400,0.01397800,16420.93100000,1674172799999,229.02105070,31367,8096.63500000,112.94123449,0
2023-01-20,0.01397800,0.01404700,0.01339700,0.01345600,43575.28400000,1674259199999,595.89446676,57308,17640.32100000,241.46157896,0
2023-01-21,0.01345700,0.01355800,0.01305000,0.01312900,60418.05600000,1674345599999,802.19000661,72542,29514.15300000,391.41015961,0
2023-01-22,0.01313000,0.01359900,0.01312000,0.01334400,32191.26000000,1674431999999,428.49418079,50924,16614.77900000,221.17645290,0
2023-01-23,0.01334500,0.01352600,0.01320500,0.01331600,28488.56100000,1674518399999,380.57101228,47479,14206.91200000,189.82177558,0
2023-01-24,0.01331700,0.01402300,0.01322500,0.01326900,63931.18300000,1674604799999,873.86542218,95953,31447.65400000,429.49076000,0
2023-01-25,0.01326900,0.01338700,0.01307600,0.01330900,45211.73800000,1674691199999,599.17492324,64154,21889.40500000,290.26883981,0
2023-01-26,0.01330800,0.01335000,0.01318400,0.01324600,28750.27000000,1674777599999,381.31916204,44838,13230.61900000,175.42721808,0
2023-01-27,0.01324800,0.01337600,0.01316600,0.01335000,29316.97900000,1674863999999,388.91220279,45308,15982.96100000,212.07041810,0
2023-01-28,0.01334900,0.01358300,0.01323900,0.01330000,27817.06000000,1674950399999,371.52427994,42866,12445.77200000,166.31089246,0
2023-01-29,0.01329900,0.01362700,0.01321200,0.01335700,49112.55800000,1675036799999,658.81667582,69522,24972.82700000,335.00828904,0
2023-01-30,0.01335700,0.01349600,0.01314200,0.01345200,43874.30600000,1675123199999,584.07215197,63074,22998.03800000,306.19477063,0
2023-01-31,0.01345200,0.01376300,0.01340700,0.01349200,38699.22800000,1675209599999,525.60216012,55213,18102.20600000,245.58025423,0
2023-02-01,0.01349200,0.01362700,0.01331100,0.01335800,36179.73000000,1675295999999,485.43965655,60605,17208.99200000,230.87364152,0
